,Argument ID,Conclusion,Stance,Premise,text,category,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
16,A02005,We should legalize prostitution,in favor of,we should legalize prostitution because it will be regulated meaning the females will be safer,we should legalize prostitution because it will be regulated meaning the females will be safer in favor of We should legalize prostitution,"['Security: personal', 'Security: societal', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
17,A02006,We should subsidize embryonic stem cell research,in favor of,embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.,embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions. in favor of We should subsidize embryonic stem cell research,['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,A02007,We should ban algorithmic trading,in favor of,algorithms may not be 100% accurate and reflect the situation in the real market,algorithms may not be 100% accurate and reflect the situation in the real market in favor of We should ban algorithmic trading,['Universalism: objectivity'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,A02008,We should legalize organ trade,in favor of,"We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times.","We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times. in favor of We should legalize organ trade","['Benevolence: caring', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
20,A02010,We should legalize cannabis,against,if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.,if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs. against We should legalize cannabis,['Security: societal'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,A02011,We should fight for the abolition of nuclear weapons,in favor of,nuclear weapons pose too serious a threat to our world.  we must abolish them now.,nuclear weapons pose too serious a threat to our world.  we must abolish them now. in favor of We should fight for the abolition of nuclear weapons,"['Security: societal', 'Universalism: concern', 'Universalism: nature']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
22,A02012,We should ban telemarketing,in favor of,telemarketing doesn't differentiate between people who are interested in being called and those who aren't,telemarketing doesn't differentiate between people who are interested in being called and those who aren't in favor of We should ban telemarketing,"['Self-direction: action', 'Conformity: interpersonal']",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,A02013,We should prohibit school prayer,in favor of,school prayer cannot account for the array of beliefs or non-beliefs students may hold.,school prayer cannot account for the array of beliefs or non-beliefs students may hold. in favor of We should prohibit school prayer,"['Security: societal', 'Universalism: tolerance']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24,A02014,We should abolish the right to keep and bear arms,against,we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.,we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution. against We should abolish the right to keep and bear arms,"['Self-direction: action', 'Conformity: rules', 'Benevolence: caring']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
25,A02015,We should ban the Church of Scientology,in favor of,they are nothing but a cult and manipulate their members,they are nothing but a cult and manipulate their members in favor of We should ban the Church of Scientology,['Self-direction: thought'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,A02016,We should legalize organ trade,in favor of,we need more organs than people donate so legalizing it would be a good thing,we need more organs than people donate so legalizing it would be a good thing in favor of We should legalize organ trade,['Universalism: objectivity'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,A02019,We should prohibit school prayer,in favor of,"School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age.","School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age. in favor of We should prohibit school prayer","['Humility', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
28,A02020,We should subsidize Wikipedia,against,wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized,wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized against We should subsidize Wikipedia,"['Self-direction: thought', 'Universalism: objectivity']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,A03001,We should introduce compulsory voting,in favor of,"where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.","where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy. in favor of We should introduce compulsory voting",['Security: societal'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,A03002,We should legalize prostitution,against,legalizing prostitution will further demean a woman or man and result in unnecessary violence.,legalizing prostitution will further demean a woman or man and result in unnecessary violence. against We should legalize prostitution,['Conformity: rules'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,A03003,We should ban the Church of Scientology,in favor of,there are questions of it's legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this,there are questions of it's legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this in favor of We should ban the Church of Scientology,"['Security: personal', 'Benevolence: caring']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
32,A03004,We should abolish the three-strikes laws,against,this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist,this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist against We should abolish the three-strikes laws,"['Security: societal', 'Conformity: rules']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
33,A03006,We should legalize cannabis,in favor of,cannabis has been shown to be safer than alcohol and less addictive.  there is no real reason to keep it an illegal substance.,cannabis has been shown to be safer than alcohol and less addictive.  there is no real reason to keep it an illegal substance. in favor of We should legalize cannabis,['Universalism: objectivity'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,A03007,We should adopt gender-neutral language,against,we should not have to change our language to accommodate those who do not adhere to a specific gender,we should not have to change our language to accommodate those who do not adhere to a specific gender against We should adopt gender-neutral language,"['Security: personal', 'Tradition']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
35,A03008,We should abolish zoos,in favor of,we should abolish zoos as animals should not be kept in captivity and should be in a natural environment.,we should abolish zoos as animals should not be kept in captivity and should be in a natural environment. in favor of We should abolish zoos,['Universalism: nature'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,A03009,We should ban fast food,in favor of,fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases.,fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases. in favor of We should ban fast food,['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,A03010,We should adopt a multi-party system,in favor of,it would give people more of a choice  and provides someone for every culture to vote for,it would give people more of a choice  and provides someone for every culture to vote for in favor of We should adopt a multi-party system,"['Security: personal', 'Security: societal']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38,A03011,We should ban fast food,in favor of,fast food is bad for our health and we really should ban any of it,fast food is bad for our health and we really should ban any of it in favor of We should ban fast food,['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,A03012,We should stop the development of autonomous cars,in favor of,autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers.,autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers. in favor of We should stop the development of autonomous cars,"['Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
40,A03013,We should subsidize journalism,in favor of,"journalism and free expression of information and exchange of ideas is a basic human right, and subsidizing this would improve its quality and reach.","journalism and free expression of information and exchange of ideas is a basic human right, and subsidizing this would improve its quality and reach. in favor of We should subsidize journalism","['Achievement', 'Power: dominance']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,A03015,We should cancel pride parades,in favor of,pride parades create a huge disturbance,pride parades create a huge disturbance in favor of We should cancel pride parades,"['Conformity: rules', 'Conformity: interpersonal']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
42,A03016,We should abolish the Olympic Games,against,Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision,Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision against We should abolish the Olympic Games,"['Benevolence: dependability', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
43,A03017,We should ban factory farming,in favor of,factory farms keep animals in tight spaces.  they are forced to live in cages and not allowed to roam as they were meant to.,factory farms keep animals in tight spaces.  they are forced to live in cages and not allowed to roam as they were meant to. in favor of We should ban factory farming,"['Self-direction: action', 'Conformity: rules', 'Universalism: concern', 'Universalism: nature']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
44,A03019,We should abolish capital punishment,in favor of,capital punishment has been proven ineffective in reducing crime rates.,capital punishment has been proven ineffective in reducing crime rates. in favor of We should abolish capital punishment,['Universalism: objectivity'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,A04001,We should abolish the right to keep and bear arms,against,"we should not abolish the right to bear arms because the law was set forth by our founding fathers, therefore making it an american right.","we should not abolish the right to bear arms because the law was set forth by our founding fathers, therefore making it an american right. against We should abolish the right to keep and bear arms","['Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
46,A04002,We should subsidize space exploration,against,"there are more important things to spend public funds on such as health care, housing and education.","there are more important things to spend public funds on such as health care, housing and education. against We should subsidize space exploration",['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,A04003,We should abandon the use of school uniform,in favor of,School uniforms keep children from being able to express themselves through their clothing choices.,School uniforms keep children from being able to express themselves through their clothing choices. in favor of We should abandon the use of school uniform,"['Self-direction: thought', 'Self-direction: action']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,A04004,We should ban human cloning,in favor of,human cloning is an unnatural act that goes against the laws of nature.  it is too dangerous of an act and is something man should not be tampering with.,human cloning is an unnatural act that goes against the laws of nature.  it is too dangerous of an act and is something man should not be tampering with. in favor of We should ban human cloning,['Universalism: nature'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,A04006,We should cancel pride parades,in favor of,why should homosexuals have a pride parade?heterosexuals don't have them!,why should homosexuals have a pride parade?heterosexuals don't have them! in favor of We should cancel pride parades,"['Tradition', 'Conformity: rules']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
50,A04007,We should prohibit school prayer,against,allowing children to pray and take some quiet time in school can be beneficial for their mental health.,allowing children to pray and take some quiet time in school can be beneficial for their mental health. against We should prohibit school prayer,"['Security: personal', 'Tradition']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
51,A04008,We should adopt a multi-party system,in favor of,We should adopt a multi-party system as the current two party system does not fit the diverse society that it is supposed to represent.,We should adopt a multi-party system as the current two party system does not fit the diverse society that it is supposed to represent. in favor of We should adopt a multi-party system,"['Security: personal', 'Security: societal', 'Universalism: concern', 'Universalism: tolerance']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
52,A04009,We should abolish intellectual property rights,in favor of,ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished,ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished in favor of We should abolish intellectual property rights,"['Self-direction: thought', 'Self-direction: action']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,A04010,We should subsidize journalism,against,"there are many sectors need subsidizing more than journalism,  journalists already make good money, more money to them will be a waste.","there are many sectors need subsidizing more than journalism,  journalists already make good money, more money to them will be a waste. against We should subsidize journalism","['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
54,A04011,We should legalize cannabis,against,"cannabis is highly addictive, studies show up to one-in10 users develop dependence over time","cannabis is highly addictive, studies show up to one-in10 users develop dependence over time against We should legalize cannabis","['Self-direction: thought', 'Self-direction: action', 'Security: personal']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,A04013,We should adopt gender-neutral language,against,we should not adopt gender neutral language because were created as male and female,we should not adopt gender neutral language because were created as male and female against We should adopt gender-neutral language,['Tradition'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,A04014,We should ban whaling,in favor of,whaling is a barbaric practice that destroys majestic animals,whaling is a barbaric practice that destroys majestic animals in favor of We should ban whaling,['Universalism: nature'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,A04016,We should limit executive compensation,against,executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.,executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people. against We should limit executive compensation,"['Achievement', 'Face']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,A04017,We should adopt a zero-tolerance policy in schools,against,zero telerance policied do not address underlying causes for the behaviour that is causing the issue,zero telerance policied do not address underlying causes for the behaviour that is causing the issue against We should adopt a zero-tolerance policy in schools,"['Universalism: concern', 'Universalism: tolerance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
59,A04018,We should abandon the use of school uniform,in favor of,School uniforms are too expensive and many parents can not afford the extra expense.,School uniforms are too expensive and many parents can not afford the extra expense. in favor of We should abandon the use of school uniform,['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,A04020,We should fight for the abolition of nuclear weapons,in favor of,Nuclear weapons should be abolished because they have to potential to cause so much destruction.,Nuclear weapons should be abolished because they have to potential to cause so much destruction. in favor of We should fight for the abolition of nuclear weapons,"['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
61,A05001,We should abolish intellectual property rights,in favor of,ideas are free thoughts so it's not fair for one person to profit off of it,ideas are free thoughts so it's not fair for one person to profit off of it in favor of We should abolish intellectual property rights,"['Self-direction: thought', 'Self-direction: action', 'Universalism: concern']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,A05003,We should end the use of economic sanctions,in favor of,economic sanctions affect poor people more than governments,economic sanctions affect poor people more than governments in favor of We should end the use of economic sanctions,"['Security: personal', 'Universalism: concern']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
63,A05005,We should ban factory farming,in favor of,factory farming is bad for the environment and should be banned,factory farming is bad for the environment and should be banned in favor of We should ban factory farming,['Universalism: nature'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,A05006,We should legalize organ trade,in favor of,"if we legalize the organ trade we will save lives, by ensuring that more people who need an organ transplant actually get one.","if we legalize the organ trade we will save lives, by ensuring that more people who need an organ transplant actually get one. in favor of We should legalize organ trade","['Self-direction: action', 'Security: personal', 'Security: societal']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65,A05012,We should subsidize embryonic stem cell research,in favor of,embryonic stem cell research should be subsidized because it only requires a small amount of cells because of the fast replication rate,embryonic stem cell research should be subsidized because it only requires a small amount of cells because of the fast replication rate in favor of We should subsidize embryonic stem cell research,['Universalism: objectivity'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,A05013,We should ban private military companies,in favor of,private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally.,private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally. in favor of We should ban private military companies,['Security: societal'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,A05014,We should adopt libertarianism,in favor of,libertarianism fosters a more equitable and efficient society for all,libertarianism fosters a more equitable and efficient society for all in favor of We should adopt libertarianism,"['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
68,A05015,We should abolish safe spaces,in favor of,these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.,these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life. in favor of We should abolish safe spaces,"['Self-direction: thought', 'Self-direction: action', 'Achievement', 'Universalism: tolerance']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,A05016,We should stop the development of autonomous cars,against,the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error.,the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error. against We should stop the development of autonomous cars,['Universalism: objectivity'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,A05017,We should ban cosmetic surgery,in favor of,cosmetic surgery is unnecessary and dangerous.,cosmetic surgery is unnecessary and dangerous. in favor of We should ban cosmetic surgery,"['Security: personal', 'Humility']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
71,A05018,We should abolish the Olympic Games,in favor of,the olympic games cause turmoil and a lot of money.,the olympic games cause turmoil and a lot of money. in favor of We should abolish the Olympic Games,"['Power: resources', 'Security: personal', 'Universalism: concern']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
72,A05021,We should legalize cannabis,in favor of,Legalizing marijuana would lead to a reduction in gang-related drug violence.,Legalizing marijuana would lead to a reduction in gang-related drug violence. in favor of We should legalize cannabis,['Security: societal'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,A05022,We should adopt gender-neutral language,in favor of,we should adopt gender-neutral language because it avoids offending people with gender stereo-types,we should adopt gender-neutral language because it avoids offending people with gender stereo-types in favor of We should adopt gender-neutral language,"['Face', 'Conformity: rules', 'Conformity: interpersonal', 'Universalism: concern', 'Universalism: tolerance']",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
74,A05023,We should ban algorithmic trading,in favor of,algorithmic trading should be banned as it manipulates the economy to benefit stockholders.,algorithmic trading should be banned as it manipulates the economy to benefit stockholders. in favor of We should ban algorithmic trading,"['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
75,A05027,We should ban whaling,against,There is little difference between the whaling industry  and our farming industries; humans are entitled to hunt animals to eat them and utilize them to our benefit.,There is little difference between the whaling industry  and our farming industries; humans are entitled to hunt animals to eat them and utilize them to our benefit. against We should ban whaling,"['Self-direction: action', 'Achievement']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,A05028,We should ban the use of child actors,in favor of,the world of show has proven to be full of vices that in the case of children is very harmful,the world of show has proven to be full of vices that in the case of children is very harmful in favor of We should ban the use of child actors,"['Security: personal', 'Conformity: rules', 'Benevolence: dependability']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
77,A05031,We should limit executive compensation,in favor of,"we should limit executives earnings.  some ceo's get millions of dollars for a salary plus housing, airplanes, and even get a package to leave the company.  all this while average worker could use more.","we should limit executives earnings.  some ceo's get millions of dollars for a salary plus housing, airplanes, and even get a package to leave the company.  all this while average worker could use more. in favor of We should limit executive compensation","['Security: personal', 'Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
78,A05033,We should subsidize embryonic stem cell research,against,this research is very controversial and against many religions,this research is very controversial and against many religions against We should subsidize embryonic stem cell research,"['Tradition', 'Humility']",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
79,A05034,We should abolish the three-strikes laws,in favor of,three is an arbitrary number and may not be appropriate in some instances or for some crimes,three is an arbitrary number and may not be appropriate in some instances or for some crimes in favor of We should abolish the three-strikes laws,"['Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
80,A05036,We should end mandatory retirement,in favor of,the loss of experience and knowledge from mandatory retirement is costly to businesses,the loss of experience and knowledge from mandatory retirement is costly to businesses in favor of We should end mandatory retirement,"['Achievement', 'Universalism: tolerance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,A05039,We should subsidize student loans,in favor of,student loans set children up to be valuable citizens and the state should support this,student loans set children up to be valuable citizens and the state should support this in favor of We should subsidize student loans,"['Achievement', 'Security: personal', 'Security: societal']",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
82,A05040,We should legalize sex selection,against,we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population,we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population against We should legalize sex selection,"['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
83,A05041,We should oppose collectivism,in favor of,collectivism prevents original thoughts and discourages people from looking for their own ideas,collectivism prevents original thoughts and discourages people from looking for their own ideas in favor of We should oppose collectivism,"['Self-direction: thought', 'Self-direction: action', 'Achievement']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,A05042,We should ban missionary work,in favor of,missionary work plays on the ignorance of local people to exploit them,missionary work plays on the ignorance of local people to exploit them in favor of We should ban missionary work,"['Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
